User Input,semantic_understanding
Difficulty,Model,Subjective Score,Objective Score,Alignment Rate
easy,GPT-4o,7.42741935483871,0.967741935483871,0.8266666666666667
easy,Gemini-1.5-Flash,6.814516129032258,0.9193548387096774,0.8266666666666667
easy,Claude-3.5-Sonnet,6.82258064516129,0.9193548387096774,0.8266666666666667
easy,Claude-3-Haiku,6.701612903225806,0.9193548387096774,0.8266666666666667
easy,GLM-4v,6.475806451612903,0.9354838709677419,0.8266666666666667
medium,GPT-4o,6.680851063829787,0.7872340425531915,0.94
medium,Gemini-1.5-Flash,5.7913669064748206,0.7553956834532374,0.9266666666666666
medium,Claude-3.5-Sonnet,6.3428571428571425,0.8476190476190476,0.7
medium,Claude-3-Haiku,5.935714285714286,0.6785714285714286,0.9333333333333333
medium,GLM-4v,6.319148936170213,0.7801418439716312,0.94
hard,GPT-4o,6.25,0.7285714285714285,0.9333333333333333
hard,Gemini-1.5-Flash,5.634057971014493,0.6304347826086957,0.92
hard,Claude-3.5-Sonnet,4.666666666666667,1.0,0.02
hard,Claude-3-Haiku,5.7913669064748206,0.6258992805755396,0.9266666666666666
hard,GLM-4v,5.885714285714286,0.65,0.9333333333333333
