User Input,basic_understanding_hack_A
Difficulty,Model,Objective Score,Alignment Rate
easy,GPT-4o,0.875,0.7466666666666667
easy,GPT-4o-Mini,0.9285714285714286,0.7466666666666667
easy,Gemini-1.5-Flash,0.9107142857142857,0.7466666666666667
easy,Claude-3.5-Sonnet,0.9017857142857143,0.7466666666666667
easy,Claude-3-Haiku,0.875,0.7466666666666667
easy,GLM-4v,0.8839285714285714,0.7466666666666667
medium,GPT-4o,0.7551020408163265,0.98
medium,GPT-4o-Mini,0.7687074829931972,0.98
medium,Gemini-1.5-Flash,0.684931506849315,0.9733333333333334
medium,Claude-3.5-Sonnet,0.6870748299319728,0.98
medium,Claude-3-Haiku,0.7414965986394558,0.98
medium,GLM-4v,0.6870748299319728,0.98
hard,GPT-4o,0.6323529411764706,0.9066666666666666
hard,GPT-4o-Mini,0.6470588235294118,0.9066666666666666
hard,Gemini-1.5-Flash,0.5808823529411765,0.9066666666666666
hard,Claude-3.5-Sonnet,0.5955882352941176,0.9066666666666666
hard,Claude-3-Haiku,0.625,0.9066666666666666
hard,GLM-4v,0.49264705882352944,0.9066666666666666
