User Input,reasoning
Difficulty,Model,Subjective Score,Objective Score,Alignment Rate
easy,GPT-4o,7.37984496124031,0.9302325581395349,0.86
easy,Gemini-1.5-Flash,6.590551181102362,0.9212598425196851,0.8466666666666667
easy,Claude-3.5-Sonnet,6.84375,0.890625,0.8533333333333334
easy,Claude-3-Haiku,7.069767441860465,0.9302325581395349,0.86
easy,GLM-4v,6.890625,0.859375,0.8533333333333334
easy,GPT-4o-Mini,6.953488372093023,0.9302325581395349,0.86
medium,GPT-4o,6.809859154929577,0.9014084507042254,0.9466666666666667
medium,Gemini-1.5-Flash,5.692857142857143,0.8357142857142857,0.9333333333333333
medium,Claude-3.5-Sonnet,6.302816901408451,0.8028169014084507,0.9466666666666667
medium,Claude-3-Haiku,6.176056338028169,0.8169014084507042,0.9466666666666667
medium,GLM-4v,6.4822695035460995,0.8368794326241135,0.94
medium,GPT-4o-Mini,6.612676056338028,0.8802816901408451,0.9466666666666667
hard,GPT-4o,6.1735537190082646,0.7603305785123967,0.8066666666666666
hard,Gemini-1.5-Flash,5.508333333333334,0.7333333333333333,0.8
hard,Claude-3.5-Sonnet,5.466666666666667,0.5833333333333334,0.8
hard,Claude-3-Haiku,5.578512396694215,0.5867768595041323,0.8066666666666666
hard,GLM-4v,6.008403361344538,0.6470588235294118,0.7933333333333333
hard,GPT-4o-Mini,6.12396694214876,0.71900826446281,0.8066666666666666
